pdays_bin_center,pdays_count
12.4875,1512
37.462500000000006,3
62.43750000000001,0
87.41250000000001,0
112.3875,0
137.3625,0
162.33750000000003,0
187.3125,0
212.28750000000002,0
237.2625,0
262.2375,0
287.21250000000003,0
312.1875,0
337.1625,0
362.13750000000005,0
387.1125,0
412.08750000000003,0
437.0625,0
462.0375,0
487.01250000000005,0
511.9875,0
536.9625000000001,0
561.9375,0
586.9125000000001,0
611.8875,0
636.8625,0
661.8375000000001,0
686.8125,0
711.7875000000001,0
736.7625,0
761.7375,0
786.7125000000001,0
811.6875,0
836.6625000000001,0
861.6375,0
886.6125,0
911.5875000000001,0
936.5625,0
961.5375000000001,0
986.5125,39673
