age_bin_center,age_count
18.0125,75
20.0375,167
22.0625,363
24.0875,1061
26.1125,1549
28.1375,2454
30.162499999999998,3661
32.1875,3679
34.2125,3504
36.2375,3255
38.2625,2839
40.287499999999994,2439
42.3125,2197
44.3375,2114
46.3625,1958
48.3875,1818
50.412499999999994,1629
52.4375,1512
54.4625,1332
56.4875,1350
58.5125,1039
60.537499999999994,356
62.5625,117
64.58749999999999,101
66.6125,83
68.6375,67
70.6625,100
72.6875,68
74.71249999999999,56
76.7375,54
78.7625,41
80.7875,51
82.8125,34
84.8375,22
86.8625,9
88.88749999999999,24
90.9125,2
92.9375,4
94.9625,2
96.9875,2
