nr.employed,class
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,1
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,1
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,1
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,1
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,1
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
5191.0,0
