cons.price.idx_bin_center,cons.price.idx_count
92.23307499999999,770
92.297225,0
92.36137499999998,267
92.425525,447
92.489675,178
92.55382499999999,0
92.617975,357
92.68212499999998,172
92.746275,10
92.810425,0
92.874575,6076
92.938725,715
93.00287499999999,0
93.067025,2458
93.13117499999998,0
93.195325,3616
93.259475,0
93.32362499999999,0
93.387775,264
93.45192499999999,5175
93.516075,0
93.58022499999998,0
93.644375,0
93.708525,0
93.77267499999999,241
93.836825,0
93.90097499999999,6897
93.965125,7763
94.02927499999998,462
94.093425,0
94.15757500000001,0
94.22172499999999,614
94.285875,0
94.35002499999999,0
94.414175,0
94.47832499999998,4374
94.542475,0
94.60662500000001,204
94.67077499999999,0
94.734925,128
