log_Frequency_bin_center,log_Frequency_count
0.7396867840615204,1493
0.832765991064671,0
0.9258451980678215,0
1.0189244050709718,0
1.1120036120741223,835
1.2050828190772729,0
1.2981620260804234,0
1.3912412330835737,508
1.4843204400867243,0
1.5773996470898746,388
1.670478854093025,0
1.7635580610961756,242
1.8566372680993262,0
1.9497164751024767,172
2.042795682105627,143
2.135874889108777,0
2.228954096111928,98
2.322033303115078,68
2.415112510118229,54
2.5081917171213792,52
2.6012709241245298,75
2.6943501311276803,20
2.787429338130831,39
2.8805085451339814,18
2.9735877521371314,26
3.0666669591402824,23
3.1597461661434325,10
3.2528253731465835,18
3.3459045801497336,9
3.4389837871528837,8
3.5320629941560346,8
3.6251422011591847,6
3.7182214081623357,3
3.811300615165486,3
3.9043798221686368,4
3.997459029171787,3
4.090538236174937,2
4.183617443178088,2
4.276696650181238,1
4.369775857184388,0
4.462855064187539,1
4.555934271190689,3
4.64901347819384,0
4.74209268519699,0
4.835171892200141,1
4.928251099203291,0
5.021330306206442,0
5.114409513209592,0
5.2074887202127425,0
5.300567927215893,2
