log_Monetary_bin_center,log_Monetary_count
1.6679960115271284,1
1.8876987984882854,1
2.107401585449442,1
2.3271043724105995,0
2.5468071593717565,1
2.7665099463329135,4
2.986212733294071,3
3.2059155202552274,2
3.425618307216385,3
3.6453210941775414,14
3.8650238811386988,15
4.084726668099856,19
4.304429455061014,42
4.524132242022169,61
4.743835028983327,131
4.963537815944484,148
5.1832406029056415,196
5.402943389866797,210
5.6226461768279545,237
5.842348963789112,332
6.062051750750269,283
6.281754537711426,268
6.501457324672582,337
6.72116011163374,276
6.940862898594897,271
7.160565685556055,244
7.380268472517211,225
7.599971259478368,215
7.819674046439525,182
8.039376833400683,147
8.259079620361838,134
8.478782407322996,87
8.698485194284153,68
8.91818798124531,50
9.137890768206468,28
9.357593555167625,30
9.577296342128781,13
9.796999129089938,16
10.016701916051094,5
10.236404703012251,7
10.456107489973409,7
10.675810276934566,4
10.895513063895724,6
11.115215850856881,4
11.334918637818037,3
11.554621424779194,0
11.774324211740351,3
11.994026998701509,1
12.213729785662665,1
12.433432572623822,2
