log_Recency_bin_center,log_Recency_count
0.7454849690140499,93
0.8501605459222592,0
0.9548361228304686,0
1.0595116997386778,86
1.1641872766468873,0
1.2688628535550963,0
1.3735384304633058,89
1.478214007371515,0
1.5828895842797244,111
1.6875651611879336,0
1.792240738096143,63
1.8969163150043524,22
2.001591891912562,0
2.106267468820771,42
2.21094304572898,76
2.3156186226371895,67
2.420294199545399,73
2.524969776453608,128
2.629645353361817,18
2.7343209302700267,73
2.838996507178236,125
2.9436720840864457,122
3.0483476609946547,55
3.153023237902864,122
3.2576988148110733,145
3.3623743917192828,97
3.4670499686274923,123
3.5717255455357013,109
3.6764011224439104,112
3.78107669935212,115
3.8857522762603294,92
3.9904278531685384,119
4.0951034300767475,148
4.199779006984957,135
4.3044545838931665,153
4.409130160801375,117
4.5138057377095855,106
4.618481314617794,63
4.723156891526003,107
4.827832468434213,79
4.932508045342422,87
5.037183622250632,91
5.141859199158841,110
5.24653477606705,117
5.35121035297526,120
5.455885929883468,100
5.560561506791679,144
5.665237083699887,130
5.769912660608097,127
5.874588237516306,127
