nr.employed_bin_center,nr.employed_count
4966.90625,635
4973.518750000001,0
4980.13125,0
4986.74375,0
4993.356250000001,773
4999.96875,0
5006.581250000001,650
5013.19375,0
5019.80625,1071
5026.418750000001,172
5033.03125,0
5039.643750000001,0
5046.25625,0
5052.86875,0
5059.481250000001,0
5066.09375,0
5072.706250000001,0
5079.31875,1663
5085.93125,0
5092.543750000001,0
5099.15625,8534
5105.768750000001,0
5112.38125,0
5118.99375,0
5125.606250000001,0
5132.21875,0
5138.831250000001,0
5145.44375,0
5152.05625,0
5158.668750000001,0
5165.28125,0
5171.893750000001,0
5178.50625,10
5185.11875,0
5191.731250000001,7763
5198.34375,3683
5204.956250000001,0
5211.56875,0
5218.18125,0
5224.793750000001,16234
