target_bin_bin_center,target_bin_count
0.0125,36548
0.037500000000000006,0
0.0625,0
0.08750000000000001,0
0.1125,0
0.1375,0
0.16250000000000003,0
0.1875,0
0.21250000000000002,0
0.2375,0
0.2625,0
0.28750000000000003,0
0.3125,0
0.3375,0
0.36250000000000004,0
0.3875,0
0.41250000000000003,0
0.4375,0
0.4625,0
0.48750000000000004,0
0.5125,0
0.5375000000000001,0
0.5625,0
0.5875000000000001,0
0.6125,0
0.6375,0
0.6625000000000001,0
0.6875,0
0.7125000000000001,0
0.7375,0
0.7625,0
0.7875000000000001,0
0.8125,0
0.8375000000000001,0
0.8625,0
0.8875,0
0.9125000000000001,0
0.9375,0
0.9625000000000001,0
0.9875,4640
