Frequency_bin_center,Frequency_count
3.08,3466
7.24,481
11.4,181
15.56,77
19.72,49
23.880000000000003,21
28.04,21
32.2,11
36.36,6
40.519999999999996,3
44.68000000000001,3
48.84,4
53.0,3
57.16,1
61.32000000000001,3
65.48,0
69.64,0
73.8,1
77.96000000000001,0
82.12,0
86.28,1
90.44,1
94.60000000000001,1
98.76,1
102.92,0
107.08,0
111.24000000000001,0
115.4,0
119.56,0
123.72,1
127.88000000000001,0
132.04000000000002,0
136.2,0
140.36,0
144.51999999999998,0
148.68,0
152.84,0
157.0,0
161.16000000000003,0
165.32,0
169.48000000000002,0
173.64,0
177.8,0
181.96,0
186.12,0
190.28000000000003,0
194.44,0
198.60000000000002,0
202.76,1
206.92000000000002,1
