previous_bin_center,previous_count
0.0875,35563
0.26249999999999996,0
0.43749999999999994,0
0.6124999999999999,0
0.7875,0
0.9624999999999999,4561
1.1374999999999997,0
1.3125,0
1.4874999999999998,0
1.6625,0
1.8375,0
2.0124999999999997,754
2.1875,0
2.3625,0
2.5374999999999996,0
2.7125,0
2.8874999999999997,0
3.0625,216
3.2375,0
3.4124999999999996,0
3.5875,0
3.7624999999999997,0
3.9374999999999996,70
4.112499999999999,0
4.2875,0
4.4625,0
4.637499999999999,0
4.8125,0
4.987499999999999,18
5.1625,0
5.3375,0
5.512499999999999,0
5.6875,0
5.862499999999999,0
6.0375,5
6.2125,0
6.387499999999999,0
6.5625,0
6.737499999999999,0
6.9125,1
